iter	Passed	Remaining
0	3197	3193902
1	3198	1596266
2	3200	1063616
3	3203	797550
4	3442	685118
5	3476	575937
6	3640	516471
7	3643	451774
8	3672	404373
9	3673	363697
10	3674	330412
11	3676	302692
12	3677	279203
13	3678	259083
14	3679	241626
15	3680	226374
16	3681	212892
17	3682	200913
18	3683	190190
19	3684	180531
20	3684	171790
21	3685	163842
22	3726	158276
23	3726	151560
24	3727	145378
25	3728	139673
26	3729	134396
27	3730	129494
28	3731	124940
29	3732	120677
30	3733	116687
31	3733	112947
32	3735	109448
33	3736	106161
34	3737	103054
35	3738	100113
36	3739	97333
37	3740	94704
38	3741	92205
39	3743	89835
40	3744	87576
41	3744	85420
42	3745	83364
43	3746	81403
44	3747	79531
45	3748	77746
46	3749	76032
47	3750	74386
48	3752	72822
49	3841	72988
50	3842	71507
51	3843	70078
52	3845	68703
53	3846	67380
54	3847	66106
55	3848	64875
56	3849	63687
57	3851	62546
58	3852	61439
59	3853	60369
60	3854	59331
61	3855	58328
62	3856	57363
63	3858	56426
64	3910	56245
65	3911	55349
66	3911	54475
67	3912	53627
68	3913	52803
69	3914	52003
70	3915	51231
71	4052	52226
72	4053	51471
73	4054	50738
74	4055	50022
75	4057	49328
76	4058	48645
77	4059	47983
78	4060	47332
79	4060	46699
80	4061	46082
81	4062	45479
82	4062	44886
83	4063	44314
84	4065	43759
85	4080	43368
86	4082	42838
87	4083	42316
88	4084	41803
89	4084	41302
90	4085	40813
91	4086	40333
92	4087	39864
93	4088	39406
94	4089	38957
95	4090	38517
96	4091	38085
97	4091	37662
98	4092	37248
99	4093	36842
100	4105	36544
101	4106	36153
102	4107	35770
103	4115	35460
104	4117	35099
105	4119	34741
106	4120	34389
107	4122	34045
108	4123	33703
109	4124	33367
110	4125	33037
111	4126	32716
112	4127	32399
113	4128	32085
114	4129	31780
115	4130	31479
116	4131	31180
117	4133	30894
118	4134	30609
119	4135	30327
120	4136	30049
121	4137	29775
122	4138	29506
123	4139	29241
124	4140	28980
125	4141	28724
126	4141	28470
127	4142	28221
128	4143	27976
129	4144	27735
130	4145	27496
131	4146	27266
132	4148	27040
133	4149	26814
134	4149	26590
135	4150	26370
136	4151	26153
137	4152	25940
138	4154	25733
139	4155	25527
140	4156	25325
